Объем,Бренд,Цена со скидкой,Цена,Тип вина,Цвет,Сахар,Страна производителя,Регион,Аппелласьон,Производитель,Категория,Бренд / Серия,Сорт винограда,Выдержка в ёмкости,Содержание алкоголя,Количество в упаковке,Температура подачи,Friendly,BiO,Винтаж,Субрегион,Выдержка,Подарочная упаковка0.75,Chateau Pinot,580₽,725₽,Тихое,Красное,Сухое,Россия,Краснодарский край,Кубань. Новороссийск ЗГУ,Chateau Pinot,ЗГУ,Chateau PinotГравитация,Пино нуарСаперави,Стальной чан,13%,6,16-18
0.75,Clos Triguedina,3 190₽,3 190₽,Тихое,Красное,Сухое,Франция,Юго-Запад,Cahors AOС,Clos Triguedina,AOC/AOP,Clos Triguedina,Мальбек,Бочка,13%,6,16-18,,,,Каор
0.75,Weingut Heninger,2 000₽,2 000₽,Тихое,Красное,Сухое,Австрия,Нижняя Австрия,Niederosterreich,Weingut Heninger,,,Цвайгельт,Стальной чан,13%,6,14-16,,,,
0.75,Olymp Winery,285₽,285₽,Тихое,Красное,Полусладкое,Россия,,,Olymp Winery,,Villa Felice,Каберне совиньонМерлоДойна,,10% - 12%,6,14-16,,,,
1.5,Bellene,20 814₽,20 814₽,Тихое,Белое,Сухое,Франция,Бургундия,Savigny-les-Beaune AOC,Bellene,AOC/AOP,Domaine de Bellene,Шардоне,Бочка,13.5%,6,10-12,Sustainable,Biodynamic,2020,Савиньи-ле-Бон
0.75,Массандра,546₽,683₽,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Массандра,ЗГУ,Массандра,Сира,Бочка,13%,6,16-18,,,,
0.75,Bodegas Muga,18 820₽,18 820₽,Тихое,Красное,Сухое,Испания,Риоха,Rioja DOCa,Bodegas Muga,DOCa,MugaTorre Muga,ТемпранильоГрасианоМасуэло,Бочка,14.5%,6,16-18,,,,Риоха Альта
0.75,Olymp Winery,454₽,454₽,Тихое,Белое,Полусладкое,Россия,Краснодарский край,,Olymp Winery,,Terrapetra,Белые сорта винограда,,10% - 12%,"12, 6",10-12,,,,
0.75,Tommasi,3 949₽,3 949₽,Тихое,Белое,Сухое,Италия,Ломбардия,Lugana DOC,Tommasi,DOC/DOP,,Турбиана,Стальной чан,12.5%,6,8-10,,,2022,
0.75,Santa Monica,1 275₽,1 821₽,Тихое,Белое,Сухое,США,Калифорния,,Santa Monica,,,Шардоне,Бочка,13%,6,10-12,,,,
0.75,Domaine Pierre Luneau-Papin,4 550₽,4 550₽,Тихое,Белое,Сухое,Франция,Долина Луары,Gros Plant du Pays Nantais AOС,Domaine Pierre Luneau-Papin,AOC/AOP,,Фоль бланш,Бочка,11%,6,10-12,,Biodynamic,2022,Пеи-Нанте
0.75,Weingut Von Winning,3 332₽,4 165₽,Тихое,Белое,Полусухое,Германия,Пфальц,Pfalz QbA,Weingut Von Winning,QbA,,Рислинг,Стальной чан,12%,,8-10,,,,
0.75,Interfin,797₽,996₽,Тихое,Красное,Полусладкое,Россия,Крым,,Interfin,,,СаперавиБастардоКаберне совиньон,Стальной чан,10.00% - 12%,6,14-16,,,,
0.75,Domini Castellare di Castellina,2 129₽,2 661₽,Тихое,Красное,Сухое,Италия,Тоскана,Maremma Toscana DOC,Domini Castellare di Castellina,DOC/DOP,,СанджовезеМерлоКаберне совиньон,Цементная емкость,14.5%,6,16-18,,,,
0.75,Luis Felipe Edwards,1 002₽,1 253₽,Тихое,Красное,Сухое,Чили,Центральная долина,Colchagua Valley DO,Luis Felipe Edwards,DO,,МальбекШираз,Бочка,14%,6,16-18,,,,Кольчагуа
0.75,Weinkellerei Hechtsheim,1 490₽,1 490₽,Тихое,Красное,Полусухое,Германия,Райнхессен,,Weinkellerei Hechtsheim,,Hans Baer,Пино нуар,Стальной чан,,6,16-18,,,,
0.75,Alma Valley,1 228₽,1 535₽,Тихое,Красное,Сухое,Россия,Крым,Крым ЗГУ,Alma Valley,ЗГУ,Alma Valley,Каберне совиньон,Бочка,,6,16-18,,,,
0.75,Lake Road,1 603₽,2 290₽,Тихое,Белое,Сухое,Новая Зеландия,Мальборо,Marlborough,Lake Road,,,Рислинг,Стальной чан,12%,6,10-12,,,,
